Frans Kafka	The Castle	I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more.
Kazuo Ishiguro	Never Let Me Go	All children have to be deceived if they are to grow up without trauma.
Kazuo Ishiguro	Never Let Me Go	It never occurred to me that our lives, until then so closely interwoven, could unravel and separate over a thing like that. But the fact was, I suppose, there were powerful tides tugging us apart by then, and it only needed something like that to finish the task. If we'd understood that back then-who knows?-maybe we'd have kept a tighter hold of one another.
Kazuo Ishiguro	The Remains of the Day	Indeed — why should I not admit it? — in that moment, my heart was breaking.
Kazuo Ishiguro	The Remains of the Day	What is the point of worrying oneself too much about what one could or could not have done to control the course one's life took? Surely it is enough that the likes of you and I at least try to make our small contribution count for something true and worthy. And if some of us are prepared to sacrifice much in life in order to pursue such aspirations, surely that in itself, whatever the outcome, cause for pride and contentment.
Kazuo Ishiguro	Never Let Me Go	You say you’resure? Sure that you’re in love? How can you know it? You think love is so simple?
Kazuo Ishiguro	The Remains of the Day	The evening's the best part of the day. You've done your day's work. Now you can put your feet up and enjoy it.
Kazuo Ishiguro	Never Let Me Go	That was the only time, as I stood there, looking at that strange rubbish, feeling the wind coming across those empty fields, that I started to imagine just a little fantasy thing, because this was Norfolk after all, and it was only a couple of weeks since I’d lost him. I was thinking about the rubbish, the flapping plastic in the branches, the shore-line of odd stuff caught along the fencing, and I half-closed my eyes and imagined this was the spot where everything I'd ever lost since my childhood had washed up, and I was now standing here in front of it, and if I waited long enough, a tiny figure would appear on the horizon across the field, and gradually get larger until I'd see it was Tommy, and he'd wave, maybe even call. The fantasy never got beyond that --I didn't let it-- and though the tears rolled down my face, I wasn't sobbing or out of control. I just waited a bit, then turned back to the car, to drive off to wherever it was I was supposed to be.
Kazuo Ishiguro	Never Let Me Go	She always wanted to believe in things.
Kazuo Ishiguro	Never Let Me Go	Because maybe, in a way, we didn't leave it behind nearly as much as we might once have thought. Because somewhere underneath, a part of us stayed like that: fearful of the world around us, and no matter how much we despised ourselves for it--unable quite to let each other go.
Kazuo Ishiguro	The Remains of the Day	If you are under the impression you have already perfected yourself, you will never rise to the heights you are no doubt capable of.
Kazuo Ishiguro	The Remains of the Day	But what is the sense in forever speculating what might have happened had such and such a moment turned out differently? One could presumably drive oneself to distraction in this way. In any case, while it is all very well to talk of 'turning points', one can surely only recognize such moments in retrospect. Naturally, when one looks back to such instances today, they may indeed take the appearance of being crucial, precious moments in one's life; but of course, at the time, this was not the impression one had. Rather, it was as though one had available a never-ending number of days, months, years in which to sort out the vagaries of one's relationship with Miss Kenton; an infinite number of further opportunities in which to remedy the effect of this or that misunderstanding. There was surely nothing to indicate at the time that such evidently small incidents would render whole dreams forever irredeemable.
Kazuo Ishiguro	Never Let Me Go	I saw a new world coming rapidly. More scientific, efficient, yes. More cures for the old sicknesses. Very good. But a harsh, cruel, world. And I saw a little girl, her eyes tightly closed, holding to her breast the old kind world, one that she knew in her heart could not remain, and she was holding it and pleading, never to let her go.
Kazuo Ishiguro	Never Let Me Go	The problem, as I see it, is that you've been told and not told. You've been told, but none of you really understand, and I dare say, some people are quite happy to leave it that way.
Kazuo Ishiguro	Never Let Me Go	I keep thinking about this river somewhere, with the water moving really fast. And these two people in the water, trying to hold onto each other, holding on as hard as they can, but in the end it’s just too much. The current’s too strong. They’ve got to let go, drift apart.
Kazuo Ishiguro	The Remains of the Day	I do not think I responded immediately, for it took me a moment or two to fully digest these words of Miss Kenton. Moreover, as you might appreciate, their implications were such as to provoke a certain degree of sorrow within me. Indeed- why should I not admit it? - at that moment, my heart was breaking.
Kazuo Ishiguro	The Remains of the Day	I can't even say I made my own mistakes. Really - one has to ask oneself - what dignity is there in that?
Kazuo Ishiguro	Never Let Me Go	Maybe from as early as when you're five or six, there's been a whisper going at the back of your head, saying: “One day, maybe not so long from now, you'll get to know how it feels.
Kazuo Ishiguro	The Remains of the Day	After all, what can we ever gain in forever looking back and blaming ourselves if our lives have not turned out quite as we might have wished?
Kazuo Ishiguro	Klara and the Sun	Therewassomething very special, but it wasn't inside Josie. It was inside those who loved her.
Kazuo Ishiguro		As a writer, I'm more interested in what people tell themselves happened rather than what actually happened
Kazuo Ishiguro	The Remains of the Day	What can we ever gain in forever looking back and blaming ourselves if our lives have not turned out quite as we might have wished? The hard reality is, surely, that for the likes of you and I, there is little choice other than to leave our fate, ultimately, in the hands of those great gentlemen at the hub of this world who employ our services. What is the point in worrying oneself too much about what one could or could not have done to control the course one’s life took? Surely it is enough that the likes of you and I at least try to make our small contribution count for something true and worthy. And if some of us are prepared to sacrifice much in life in order to pursue such aspirations, surely that is in itself, whatever the outcome, cause for pride and contentment.
Jack London		You can't wait for inspiration. You have to go after it with a club.
Jack London		I would rather be a superb meteor, every atom of me in magnificent glow, than a sleepy and permanent planet.
Jack London	The Turtles of Tasman	I'd rather sing one wild song and burst my heart with it, than live a thousand years watching my digestion and being afraid of the wet.
Jack London	White Fang	The Wild still lingered in him and the wolf in him merely slept.
Jack London	The Call of the Wild	He was mastered by the sheer surging of life, the tidal wave of being, the perfect joy of each separate muscle, joint, and sinew in that it was everything that was not death, that it was aglow and rampant, expressing itself in movement, flying exultantly under the stars.
Jack London		I would rather be ashes than dust!I would rather that my spark should burn out in a brilliant blaze than it should be stifled by dry-rot.I would rather be a superb meteor, every atom of me in magnificent glow, than a sleepy and permanent planet.The function of man is to live, not to exist.I shall not waste my days trying to prolong them.I shall use my time.
Jack London		A bone to the dog is not charity. Charity is the bone shared with the dog, when you are just as hungry as the dog.
Jack London		The proper function of man is to live, not to exist. I shall not waste my days in trying to prolong them. I shall use my time.
Jack London		Don't loaf and invite inspiration; light out after it with a club.
Jack London		Life is not always a matter of holding good cards, but sometimes, playing a poor hand well.
Jack London	The Call of the Wild	There is an ecstasy that marks the summit of life, and beyond which life cannot rise. And such is the paradox of living, this ecstasy comes when one is most alive, and it comes as a complete forgetfulness that one is alive.This ecstasy, this forgetfulness of living, comes to the artist, caught up and out of himself in a sheet of flame; it comes to the soldier, war-mad in a stricken field and refusing quarter; and it came to Buck, leading the pack, sounding the old wolf-cry, straining after the food that was alive and that fled swiftly before him through the moonlight.
Jack London		Show me a man with a tattoo and I'll show you a man with an interesting past.
Jack London	The Star Rover	To be able to forget means sanity.
Jack London	The Star Rover	Intelligent men are cruel. Stupid men are monstrously cruel.
Jack London		And how have I lived? Frankly and openly, though crudely. I have not been afraid of life. I have not shrunk from it. I have taken it for what it was at its own valuation. And I have not been ashamed of it. Just as it was, it was mine.
Jack London	The Call of the Wild	But especially he loved to run in the dim twilight of the summer midnights, listening to the subdued and sleepy murmurs of the forest, reading signs and sounds as a man may read a book, and seeking for the mysterious something that called -- called, waking or sleeping, at all times, for him to come.
Jack London	Martin Eden	But I am I. And I won't subordinate my taste to the unanimous judgment of mankind
Jack London	White Fang	He was a silent fury who no torment could tame.
Jack London	The Call of the Wild	There is an ecstasy that marks the summit of life, and beyond which life cannot rise. And such is the paradox of living, this ecstasy comes when one is most alive, and it comes as a complete forgetfulness that one is alive.
Jack London	The Star Rover	As one grows weaker one is less susceptible to suffering. There is less hurt because there is less to hurt.
Jack London	White Fang	Fear urged him to go back, but growth drove him on.
Jack London		It's better to stand by someone's side than by yourself
Jack London	The Call of the Wild	He had learned well the law of club and fang, and he never forewent an advantage or drew back from a foe he had started on the way to Death. He had lessoned from Spitz, and from the chief fighting dogs of the police and mail, and knew there was no middle course. He must master or be mastered; while to show mercy was a weakness. mercy did not exist in the primordial life. It was misunderstood for fear, and such misunderstandings made for death. Kill or be killed, eat or be eaten, was the law; and this mandate, down out of the depths of Time, he obeyed.
Jack London		Ever bike? Now that's something that makes life worth living!...Oh, to just grip your handlebars and lay down to it, and go ripping and tearing through streets and road, over railroad tracks and bridges, threading crowds, avoiding collisions, at twenty miles or more an hour, and wondering all the time when you're going to smash up. Well, now, that's something! And then go home again after three hours of it...and then to think that tomorrow I can do it all over again!
Jack London	The Call of the Wild	Deep in the forest a call was sounding, and as often as he heard this call, mysteriously thrilling and luring, he felt compelled to turn his back upon the fire and the beaten earth around it, and to plunge into the forest, and on and on, he knew not where or why; nor did he wonder where or why, the call sounding imperiously, deep in the forest.
Jack London	The Call of the Wild	Love, genuine passionate love, was his for the first time.
Jack London	The Sea Wolf	Why, if there is anything in supply and demand, life is the cheapest thing in the world. There is only so much water, so much earth, so much air; but the life that is demanding to be born is limitless. Nature is a spendthrift. Look at the fish and their millions of eggs. For that matter, look at you and me. In our loins are the possibilities of millions of lives. Could we but find time and opportunity and utilize the last bit and every bit of the unborn life that is in us, we could become the fathers of nations and populate continents. Life? Bah! It has no value. Of cheap things it is the cheapest. Everywhere it goes begging. Nature spills it out with a lavish hand. Where there is room for one life, she sows a thousand lives, and it's life eats life till the strongest and most piggish life is left.
Jack London	The Call of the Wild	He was a killer, a thing that preyed, living on the things that lived, unaided, alone, by virtue of his own strength and prowess, surviving triumphantly in a hostile environment where only the strong survive.
Jack London	White Fang	White Fang knew the law well: to oppress the weak and obey the strong.
Jack London		A vast silence reigned over the land. The land itself was a desolation, lifeless, without movement, so lone and cold that the spirit of it was not even that of sadness. There was a hint in it of laughter, but of laughter more terrible than any sadness-a laughter that was mirthless as the smile of the Sphinx, a laughter cold as the frost and partaking of the grimness of infallibility. It was the masterful and incommunicable wisdom of eternity laughing at the futility of life and the effort of life. It was the Wild, the savage, frozen-hearted Northland Wild.
John Steinbeck	The Winter of Our Discontent	I wonder how many people I've looked at all my life and never seen.
John Steinbeck	East of Eden	And now that you don't have to be perfect, you can be good.
John Steinbeck	Of Mice and Men	Maybe ever’body in the whole damn world is scared of each other.
John Steinbeck	East of Eden	All great and precious things are lonely.
John Steinbeck	East of Eden	I believe a strong woman may be stronger than a man, particularly if she happens to have love in her heart. I guess a loving woman is indestructible.
John Steinbeck	The Grapes of Wrath	There ain't no sin and there ain't no virtue. There's just stuff people do.
John Steinbeck	The Winter of Our Discontent	It's so much darker when a light goes out than it would have been if it had never shone.
John Steinbeck	East of Eden	But the Hebrew word, the word timshel—‘Thou mayest’— that gives a choice. It might be the most important word in the world. That says the way is open. That throws it right back on a man. For if ‘Thou mayest’—it is also true that ‘Thou mayest not.
John Steinbeck	East of Eden	And this I believe: that the free, exploring mind of the individual human is the most valuable thing in the world. And this I would fight for: the freedom of the mind to take any direction it wishes, undirected. And this I must fight against: any idea, religion, or government which limits or destroys the individual. This is what I am and what I am about.
John Steinbeck	Of Mice and Men	I got you to look after me, and you got me to look after you, and that'swhy.
John Steinbeck		All war is a symptom of man's failure as a thinking animal.
John Steinbeck	Travels with Charley: In Search of America	What good is the warmth of summer, without the cold of winter to give it sweetness.
John Steinbeck	East of Eden	When a child first catches adults out -- when it first walks into his grave little head that adults do not always have divine intelligence, that their judgments are not always wise, their thinking true, their sentences just -- his world falls into panic desolation. The gods are fallen and all safety gone. And there is one sure thing about the fall of gods: they do not fall a little; they crash and shatter or sink deeply into green muck. It is a tedious job to build them up again; they never quite shine. And the child's world is never quite whole again. It is an aching kind of growing.
John Steinbeck	The Grapes of Wrath	And the little screaming fact that sounds through all history: repression works only to strengthen and knit the repressed.
John Steinbeck		Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen.
John Steinbeck	East of Eden	I believe that there is one story in the world, and only one. . . . Humans are caught—in their lives, in their thoughts, in their hungers and ambitions, in their avarice and cruelty, and in their kindness and generosity too—in a net of good and evil. . . . There is no other story. A man, after he has brushed off the dust and chips of his life, will have left only the hard, clean questions: Was it good or was it evil? Have I done well—or ill?
John Steinbeck	Travels with Charley: In Search of America	I was born lost and take no pleasure in being found.
John Steinbeck	East of Eden	There's more beauty in truth, even if it is dreadful beauty.
John Steinbeck	East of Eden	Do you take pride in your hurt? Does it make you seem large and tragic? ...Well, think about it. Maybe you're playing a part on a great stage with only yourself as audience.
John Steinbeck		Try to understand men. If you understand each other you will be kind to each other. Knowing a man well never leads to hate and almost always leads to love.
John Steinbeck	Cannery Row	It has always seemed strange to me...The things we admire in men, kindness and generosity, openness, honesty, understanding and feeling, are the concomitants of failure in our system. And those traits we detest, sharpness, greed, acquisitiveness, meanness, egotism and self-interest, are the traits of success. And while men admire the quality of the first they love the produce of the second.
John Steinbeck	Travels with Charley: In Search of America	I have always lived violently, drunk hugely, eaten too much or not at all, slept around the clock or missed two nights of sleeping, worked too hard and too long in glory, or slobbed for a time in utter laziness. I've lifted, pulled, chopped, climbed, made love with joy and taken my hangovers as a consequence, not as a punishment.
John Steinbeck	The Winter of Our Discontent	To be alive at all is to have scars.
John Steinbeck	A John Steinbeck Encyclopedia	I guess there are never enough books.
John Steinbeck	East of Eden	My imagination will get me a passport to hell one day.
John Steinbeck		When two people meet, each one is changed by the other so you've got two new people.
John Steinbeck	East of Eden	Sometimes a man wants to be stupid if it lets him do a thing his cleverness forbids.
John Steinbeck		Anything that just costs money is cheap.
John Steinbeck	Of Mice and Men	As happens sometimes, a moment settled and hovered and remained for much more than a moment. And sound stopped and movement stopped for much, much more than a moment.
John Steinbeck	شرق بهشت	It seems to me that if you or I must choose between two courses of thought or action, we should remember our dying and try so to live that our death brings no pleasure to the world.
John Steinbeck	Travels with Charley: In Search of America	A sad soul can kill you quicker, far quicker, than a germ.
John Steinbeck	East of Eden	A kind of light spread out from her. And everything changed color. And the world opened out. And a day was good to awaken to. And there were no limits to anything. And the people of the world were good and handsome. And I was not afraid any more.
John Steinbeck	East of Eden	People like you to be something, preferably what they are.
John Steinbeck	The Winter of Our Discontent	No man really knows about other human beings. The best he can do is to suppose that they are like himself.
John Steinbeck	East of Eden	It would be absurd if we did not understand both angels and devils, since we invented them.
John Steinbeck	East of Eden	A man so painfully in love is capable of self-torture beyond belief.
John Steinbeck		Power does not corrupt. Fear corrupts... perhaps the fear of a loss of power.
John Steinbeck	East of Eden	But I have a new love for that glittering instrument, the human soul. It is a lovely and unique thing in the universe. It is always attacked and never destroyed - because 'Thou mayest.
John Steinbeck	East of Eden	We have only one story. All novels, all poetry, are built on the neverending contest in ourselves of good and evil. And it occurs to me that evil must constantly respawn, while good, while virtue, is immortal. Vice has always a new fresh young face, while virtue is venerable as nothing else in the world is.
John Steinbeck	Of Mice and Men	A guy needs somebody―to be near him. A guy goes nuts if he ain't got nobody. Don't make no difference who the guy is, long's he's with you. I tell ya, I tell ya a guy gets too lonely an' he gets sick.
John Steinbeck	The Grapes of Wrath	If you're in trouble, or hurt or need - go to the poor people. They're the only ones that'll help - the only ones.
John Steinbeck	East of Eden	When a man says he does not want to speak of something he usually means he can think of nothing else.
John Steinbeck	The Grapes of Wrath	It was her habit to build up laughter out of inadequate materials.
John Steinbeck	The Winter of Our Discontent	I shall revenge myself in the cruelest way you can imagine. I shall forget it.
John Steinbeck		Don't worry about losing. If it is right, it happens - The main thing is not to hurry. Nothing good gets away.
John Steinbeck	East of Eden	An unbelieved truth can hurt a man much more than a lie. It takes great courage to back truth unacceptable to our times. There's a punishment for it, and it's usually crucifixion.
John Steinbeck	East of Eden	A man without words is a man without thought.
John Steinbeck	The Winter of Our Discontent	Can you honestly love a dishonest thing?
John Steinbeck	The Winter of Our Discontent	People who are most afraid of their dreams convince themselves they don't dream at all.
John Steinbeck	East of Eden	Perhaps the less we have, the more we are required to brag.
John Steinbeck	East of Eden	..it's awful not to be loved. It's the worst thing in the world...It makes you mean, and violent, and cruel.
John Steinbeck	East of Eden	It’s a hard thing to leave any deeply routine life, even if you hate it.
John Steinbeck	The Grapes of Wrath	How can we live without our lives? How will we know it's us without our past?
John Steinbeck	East of Eden	Perhaps it takes courage to raise children..
John Steinbeck	The Grapes of Wrath	...and in the eyes of the people there is the failure; and in the eyes of the hungry there is a growing wrath. In the souls of the people the grapes of wrath are filling and growing heavy, growing heavy for the vintage.
John Steinbeck	Sweet Thursday	You've seen the sun flatten and take strange shapes just before it sinks in the ocean. Do you have to tell yourself every time that it's an illusion caused by atmospheric dust and light distorted by the sea, or do you simply enjoy the beauty of it?
John Steinbeck	The Grapes of Wrath	The quality of owning freezes you forever in "I," and cuts you off forever from the "we.
John Steinbeck	The Winter of Our Discontent	You know how advice is - you only want it if it agrees with what you wanted to do anyways.
John Steinbeck	Travels with Charley: In Search of America	I wonder why progress looks so much like destruction.
John Steinbeck	East of Eden	Our species is the only creative species, and it has only one creative instrument, the individual mind and spirit of man. Nothing was ever created by two men. There are no good collaborations, whether in music, in art, in poetry, in mathematics, in philosophy. Once the miracle of creation has taken place, the group can build and extend it, but the group never invents anything. The preciousness lies in the lonely mind of a man.
Virginia Woolf	A Room of One’s Own	I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.
Virginia Woolf	A Room of One’s Own	Lock up your libraries if you like; but there is no gate, no lock, no bolt that you can set upon the freedom of my mind.
Virginia Woolf	Between the Acts	Books are the mirrors of the soul.
Virginia Woolf		Why are women... so much more interesting to men than men are to women?
Virginia Woolf	A Room of One’s Own	One cannot think well, love well, sleep well, if one has not dined well.
Virginia Woolf		If you do not tell the truth about yourself you cannot tell it about other people.
Virginia Woolf		I can only note that the past is beautiful because one never realises an emotion at the time. It expands later, and thus we don't have complete emotions about the present, only about the past.
Virginia Woolf		Writing is like sex. First you do it for love, then you do it for your friends, and then you do it for money.
Virginia Woolf		As a woman I have no country. As a woman I want no country. As a woman, my country is the whole world.
Virginia Woolf		When you consider things like the stars, our affairs don't seem to matter very much, do they?
Virginia Woolf	Orlando	As long as she thinks of a man, nobody objects to a woman thinking.
Virginia Woolf		The eyes of others our prisons; their thoughts our cages.
Virginia Woolf	A Room of One's Own / Three Guineas	No need to hurry. No need to sparkle. No need to be anybody but oneself.
Virginia Woolf		Growing up is losing some illusions, in order to acquire others.
Virginia Woolf	The Waves	There was a star riding through clouds one night, & I said to the star, 'Consume me'.
Virginia Woolf	A Room of One’s Own	Women have served all these centuries as looking glasses possessing the magic and delicious power of reflecting the figure of man at twice its natural size.
Virginia Woolf	Orlando	Nothing thicker than a knife's blade separates happiness from melancholy.
Virginia Woolf	To the Lighthouse	What is the meaning of life? That was all- a simple question; one that tended to close in on one with years, the great revelation had never come. The great revelation perhaps never did come. Instead, there were little daily miracles, illuminations, matches struck unexpectedly in the dark; here was one.
Virginia Woolf		I am rooted, but I flow.
Virginia Woolf	The Waves	How much better is silence; the coffee cup, the table. How much better to sit by myself like the solitary sea-bird that opens its wings on the stake. Let me sit here for ever with bare things, this coffee cup, this knife, this fork, things in themselves, myself being myself.
Virginia Woolf	A Room of One’s Own	A woman must have money and a room of her own if she is to write fiction.
Virginia Woolf	A Room of One’s Own	Anon, who wrote so many poems without signing them, was often a woman.
Virginia Woolf		Second hand books are wild books, homeless books; they have come together in vast flocks of variegated feather, and have a charm which the domesticated volumes of the library lack.
Virginia Woolf		Dearest, I feel certain that I am going mad again. I feel we can't go through another of those terrible times. And I shan't recover this time. I begin to hear voices, and I can't concentrate. So I am doing what seems the best thing to do. You have given me the greatest possible happiness. You have been in every way all that anyone could be. I don't think two people could have been happier 'til this terrible disease came. I can't fight any longer. I know that I am spoiling your life, that without me you could work. And you will I know. You see I can't even write this properly. I can't read. What I want to say is I owe all the happiness of my life to you. You have been entirely patient with me and incredibly good. I want to say that – everybody knows it. If anybody could have saved me it would have been you. Everything has gone from me but the certainty of your goodness. I can't go on spoiling your life any longer. I don't think two people could have been happier than we have been. V.
Virginia Woolf	Orlando	Love, the poet said, is woman's whole existence.
Virginia Woolf	Orlando	A woman knows very well that, though a wit sends her his poems, praises her judgment, solicits her criticism, and drinks her tea, this by no means signifies that he respects her opinions, admires her understanding, or will refuse, though the rapier is denied him, to run through the body with his pen.
Virginia Woolf	Orlando	All extremes of feeling are allied with madness.
Virginia Woolf	Orlando	Orlando naturally loved solitary places, vast views, and to feel himself for ever and ever and ever alone.
Virginia Woolf	A Room of One’s Own	The history of men's opposition to women's emancipation is more interesting perhaps than the story of that emancipation itself.
Virginia Woolf		I thought how unpleasant it is to be locked out; and I thought how it is worse, perhaps, to be locked in.
Gabriel Garcia Marquez		What matters in life is not what happens to you but what you remember and how you remember it.
Gabriel García Márquez		No medicine cures what happiness cannot.
Gabriel García Márquez	One Hundred Years of Solitude	It's enough for me to be sure that you and I exist at this moment.
Gabriel García Márquez	Love in the Time of Cholera	He allowed himself to be swayed by his conviction that human beings are not born once and for all on the day their mothers give birth to them, but that life obliges them over and over again to give birth to themselves.
Gabriel García Márquez		sex is the consolation you have when you can't have love
Gabriel García Márquez		It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.
Gabriel García Márquez	One Hundred Years of Solitude	There is always something left to love.
Gabriel García Márquez		Perhaps this is what the stories meant when they called somebody heartsick. Your heart and your stomach and your whole insides felt empty and hollow and aching.
Gabriel García Márquez	One Hundred Years of Solitude	He dug so deeply into her sentiments that in search of interest he found love, because by trying to make her love him he ended up falling in love with her. Petra Cotes, for her part, loved him more and more as she felt his love increasing, and that was how in the ripeness of autumn she began to believe once more in the youthful superstition that poverty was the servitude of love. Both looked back then on the wild revelry, the gaudy wealth, and the unbridled fornication as an annoyance and they lamented that it had cost them so much of their lives to find the paradise of shared solitude. Madly in love after so many years of sterile complicity, they enjoyed the miracle of living each other as much at the table as in bed, and they grew to be so happy that even when they were two worn-out people they kept on blooming like little children and playing together like dogs.
Gabriel García Márquez	Love in the Time of Cholera	To him she seemed so beautiful, so seductive, so different from ordinary people, that he could not understand why no one was as disturbed as he by the clicking of her heels on the paving stones, why no one else's heart was wild with the breeze stirred by the sighs of her veils, why everyone did not go mad with the movements of her braid, the flight of her hands, the gold of her laughter. He had not missed a single one of her gestures, not one of the indications of her character, but he did not dare approach her for fear of destroying the spell.
Gabriel García Márquez		Nobody deserves your tears, but whoever deserves them will not make you cry.
Gabriel García Márquez	Love in the Time of Cholera	He was still too young to know that the heart's memory eliminates the bad and magnifies the good, and that thanks to this artifice we manage to endure the burden of the past.
Gabriel García Márquez		If I knew that today would be the last time I’d see you, I would hug you tight and pray the Lord be the keeper of your soul. If I knew that this would be the last time you pass through this door, I’d embrace you, kiss you, and call you back for one more. If I knew that this would be the last time I would hear your voice, I’d take hold of each word to be able to hear it over and over again. If I knew this is the last time I see you, I’d tell you I love you, and would not just assume foolishly you know it already.
Gabriel García Márquez	Love in the Time of Cholera	Tell him yes. Even if you are dying of fear, even if you are sorry later, because whatever you do, you will be sorry all the rest of your life if you say no.
Gabriel García Márquez		nothing in this world was more difficult than love.
Gabriel García Márquez	Love in the Time of Cholera	But when a woman decides to sleep with a man, there is no wall she will not scale, no fortress she will not destroy, no moral consideration she will not ignore at its very root: there is no God worth worrying about.
Gabriel García Márquez	Love in the Time of Cholera	She would defend herself, saying that love, no matter what else it might be, was a natural talent. She would say: You are either born knowing how, or you never know.
Gabriel García Márquez	Gabriel García Márquez: a Life	All human beings have three lives: public, private, and secret.
Gabriel Garcí­a Márquez		1) I love you not for whom you are,but who i am when i'm by your side.2) No person deserves your tears,and who deserves them won't make you cry.3) Just because someone doesn't love you as you wish,it doesn't mean you're not loved with all his/her being.4) A true friend is the one,who hold your hand and touches your heart.5) The worst way to miss someone is,to be seated by him/her and know you'll never have him/her.6) Never stop smiling not even when you're sad,someone might fall in love with your smile.7) You may only be a person in this world,but for someone you're the world.8) Don't spend time with someone,who doesn't care spending it with you.9) Maybe God wants you to meet many wrong people,before you meet the right one,so when it happens you'll be thankful.10) Dont cry because it came to an end,smile because it happened.11) There will always be people who'll hurt you,so you need to continue trusting, just be careful.12) Become a better person and be sure to know who you are,before meeting someone new and hoping that person knows who you are.13) Don't struggle so much,best things happen when not expected.
Gabriel García Márquez	Love in the Time of Cholera	The only regret I will have in dying is if it is not for love.
Gabriel García Márquez	One Hundred Years of Solitude	...time was not passing...it was turning in a circle...
Gabriel Garcia Marquez		my heart has more rooms in it than a whore house
Gabriel García Márquez		Human beings are not born once and for all on the day their mothers give birth to them, but ... life obliges them over and over again to give birth to themselves.
Gabriel García Márquez	Love in the Time of Cholera	wisdom comes to us when it can no longer do any good.
Gabriel Garcia Marquez	One Hundred Years of Solitude	Then he made one last effort to search in his heart for the place where his affection had rotted away, and he could not find it.
Gabriel Garcia Marquez		A true friend is the one who holds your hand and touches your heart
Gabriel Garcia Marquez	Memories of My Melancholy Whores	I discovered that my obsession for having each thing in the right place, each subject at the right time, each word in the right style, was not the well-deserved reward of an ordered mind but just the opposite: a complete system of pretense invented by me to hide the disorder of my nature. I discovered that I am not disciplined out of virtue but as a reaction to my negligence, that I appear generous in order to conceal my meanness, that I pass myself off as prudent because I am evil-minded, that I am conciliatory in order not to succumb to my repressed rage, that I am punctual only to hide how little I care about other people’s time. I learned, in short, that love is not a condition of the spirit but a sign of the zodiac.
Gabriel Garcia Marquez		It was inevitable: the scent of bitter almonds always reminded him of the fate of unrequited love.
Gabriel García Márquez	One Hundred Years of Solitude	He really had been through death, but he had returned because he could not bear the solitude.
Gabriel García Márquez	One Hundred Years of Solitude	Wherever they might be they always remember that the past was a lie, that memory has no return, that every spring gone by could never be recovered, and that the wildest and most tenacious love was an ephemeral truth in the end.
James Joyce		Shut your eyes and see.
James Joyce	Ulysses	Think you're escaping and run into yourself. Longest way round is the shortest way home.
James Joyce		And then I asked him with my eyes to ask again yes and then he asked me would I yes and his heart was going like mad and yes I said yes I will yes.
James Joyce	A Portrait of the Artist as a Young Man	His heart danced upon her movements like a cork upon a tide. He heard what her eyes said to him from beneath their cowl and knew that in some dim past, whether in life or revery, he had heard their tale before.
James Joyce	Ulysses	History, Stephen said, is a nightmare from which I am trying to awake.
James Joyce	A Portrait of the Artist as a Young Man	I will tell you what I will do and what I will not do. I will not serve that in which I no longer believe, whether it calls itself my home, my fatherland, or my church: and I will try to express myself in some mode of life or art as freely as I can and as wholly as I can, using for my defense the only arms I allow myself to use -- silence, exile, and cunning.
James Joyce	A Portrait of the Artist as a Young Man	You made me confess the fears that I have. But I will tell you also what I do not fear. I do not fear to be alone or to be spurned for another or to leave whatever I have to leave. And I am not afraid to make a mistake, even a great mistake, a lifelong mistake and perhaps as long as eternity too.
James Joyce	Ulysses	Love loves to love love.
James Joyce	Ulysses	Every life is in many days, day after day. We walk through ourselves, meeting robbers, ghosts, giants, old men, young men, wives, widows, brothers-in-love, but always meeting ourselves.
James Joyce	Ulysses	A man of genius makes no mistakes. His errors are volitional and are the portals of discovery.
James Joyce	A Portrait of the Artist as a Young Man	He wanted to cry quietly but not for himself: for the words, so beautiful and sad, like music.
James Joyce	Dubliners	A few light taps upon the pane made him turn to the window. It had begun to snow again. He watched sleepily the flakes, silver and dark, falling obliquely against the lamplight. The time had come for him to set out on his journey westward. Yes, the newspapers were right: snow was general all over Ireland. It was falling on every part of the dark central plain, on the treeless hills, falling softly upon the Bog of Allen and, farther westward, softly falling into the dark mutinous Shannon waves. It was falling, too, upon every part of the lonely churchyard on the hill where Michael Furey lay buried. It lay thickly drifted on the crooked crosses and headstones, on the spears of the little gate, on the barren thorns. His soul swooned slowly as he heard the snow falling faintly through the universe and faintly falling, like the descent of their last end, upon all the living and the dead.
James Joyce	Finnegans Wake	They lived and laughed and loved and left.
James Joyce		All Moanday, Tearday, Wailsday, Thumpsday, Frightday, Shatterday.
James Joyce		Life is too short to read a bad book.
James Joyce		Your battles inspired me - not the obvious material battles but those that were fought and won behind your forehead.
James Joyce	Dubliners	But my body was like a harp and her words and gestures were like fingers running upon the wires.from “Araby
James Joyce	The Dead	Why is it that words like these seem dull and cold? Is it because there is no word tender enough to be your name?
